bill,tip,sex,smoker,day,time,size,percent
13.51,2,Male,Yes,Thur,Lunch,2,14.803849000740193
18.71,4,Male,Yes,Thur,Lunch,3,21.378941742383752
12.74,2.01,Female,Yes,Thur,Lunch,2,15.777080062794347
13,2,Female,Yes,Thur,Lunch,2,15.384615384615385
16.4,2.5,Female,Yes,Thur,Lunch,2,15.243902439024392
20.53,4,Male,Yes,Thur,Lunch,4,19.48368241597662
16.47,3.23,Female,Yes,Thur,Lunch,3,19.611414693381906
26.59,3.41,Male,Yes,Sat,Dinner,3,12.82437006393381
38.73,3,Male,Yes,Sat,Dinner,4,7.74593338497289
24.27,2.03,Male,Yes,Sat,Dinner,2,8.364235681911826
12.76,2.23,Female,Yes,Sat,Dinner,2,17.476489028213166
30.06,2,Male,Yes,Sat,Dinner,3,6.653359946773121
25.89,5.16,Male,Yes,Sat,Dinner,4,19.930475086906142
48.33,9,Male,No,Sat,Dinner,4,18.6219739292365
13.27,2.5,Female,Yes,Sat,Dinner,2,18.839487565938207
28.17,6.5,Female,Yes,Sat,Dinner,3,23.074192403265883
12.9,1.1,Female,Yes,Sat,Dinner,2,8.527131782945736
28.15,3,Male,Yes,Sat,Dinner,5,10.657193605683837
11.59,1.5,Male,Yes,Sat,Dinner,2,12.94219154443486
7.74,1.44,Male,Yes,Sat,Dinner,2,18.6046511627907
30.14,3.09,Female,Yes,Sat,Dinner,4,10.252156602521566
12.16,2.2,Male,Yes,Fri,Lunch,2,18.092105263157894
13.42,3.48,Female,Yes,Fri,Lunch,2,25.93144560357675
8.58,1.92,Male,Yes,Fri,Lunch,1,22.377622377622377
15.98,3,Female,No,Fri,Lunch,3,18.773466833541928
13.42,1.58,Male,Yes,Fri,Lunch,2,11.773472429210134
16.27,2.5,Female,Yes,Fri,Lunch,2,15.365703749231715
10.09,2,Female,Yes,Fri,Lunch,2,19.821605550049554
20.45,3,Male,No,Sat,Dinner,4,14.66992665036675
13.28,2.72,Male,No,Sat,Dinner,2,20.481927710843376
22.12,2.88,Female,Yes,Sat,Dinner,2,13.019891500904157
24.01,2,Male,Yes,Sat,Dinner,4,8.329862557267804
15.69,3,Male,Yes,Sat,Dinner,3,19.120458891013385
11.61,3.39,Male,No,Sat,Dinner,2,29.198966408268735
10.77,1.47,Male,No,Sat,Dinner,2,13.649025069637883
15.53,3,Male,Yes,Sat,Dinner,2,19.31745009658725
10.07,1.25,Male,No,Sat,Dinner,2,12.413108242303872
12.6,1,Male,Yes,Sat,Dinner,2,7.936507936507936
32.83,1.17,Male,Yes,Sat,Dinner,2,3.563813585135547
35.83,4.67,Female,No,Sat,Dinner,3,13.033770583310075
29.03,5.92,Male,No,Sat,Dinner,3,20.39269720978298
27.18,2,Female,Yes,Sat,Dinner,2,7.358351729212656
22.67,2,Male,Yes,Sat,Dinner,2,8.822232024702249
17.82,1.75,Male,No,Sat,Dinner,2,9.820426487093153
18.78,3,Female,No,Thur,Dinner,2,15.974440894568689
