GEO_DESC,TIME_PERIOD,PC_GDP,NR_COMP,MIO_EUR
Netherlands,2014,0.029,249,192
Netherlands,2015,0.032,231,220
Poland,2007,0.006,23,20
Poland,2008,0.016,43,58
Poland,2009,0.001,7,2
Poland,2010,0.002,12,8
Poland,2011,0.007,26,25
Poland,2012,0.002,29,8
Poland,2013,0.006,62,22
Poland,2014,0.006,47,25
Poland,2015,0.007,64,29
Portugal,2007,0.078,58,137
Portugal,2008,0.052,122,92
Portugal,2009,0.024,66,42
Portugal,2010,0.036,44,65
Portugal,2011,0.007,33,13
Portugal,2012,0.01,58,17
Portugal,2013,0.017,83,29
Portugal,2014,0.026,98,45
Portugal,2015,0.039,112,70
Romania,2007,0.001,1,1
Romania,2008,0.005,2,7
Romania,2009,0,1,1
Romania,2010,0,0,0
Romania,2011,0,0,0
Romania,2012,0,0,0
Romania,2013,0.002,1,4
Romania,2014,0.002,4,2
Romania,2015,0.001,2,1
Sweden,2007,0.118,437,422
Sweden,2008,0.099,293,348
Sweden,2009,0.071,295,218
Sweden,2010,0.067,334,246
Sweden,2011,0.058,325,235
Sweden,2012,0.051,384,217
Sweden,2013,0.051,355,224
Sweden,2014,0.046,397,198
Sweden,2015,0.034,344,150
United Kingdom,2007,0.076,599,1641
United Kingdom,2008,0.093,727,1770
United Kingdom,2009,0.052,491,875
United Kingdom,2010,0.044,426,802
United Kingdom,2011,0.045,393,840
United Kingdom,2012,0.033,399,678
United Kingdom,2013,0.026,382,533
United Kingdom,2014,0.034,388,775
United Kingdom,2015,0.032,254,833
Austria,2007,0.013,52,38
Austria,2008,0.011,55,32
Austria,2009,0.012,58,36
Austria,2010,0.01,57,29
Austria,2011,0.008,68,25
Austria,2012,0.008,87,25
Austria,2013,0.008,87,26
Austria,2014,0.008,88,25
Austria,2015,0.008,92,27
Belgium,2007,0.055,126,189
Belgium,2008,0.052,143,186
Belgium,2009,0.053,151,184
Belgium,2010,0.025,77,92
Belgium,2011,0.03,91,114
Belgium,2012,0.033,110,128
Belgium,2013,0.026,96,104
Belgium,2014,0.032,122,127
Belgium,2015,0.015,51,63
Bulgaria,2007,0,0,0
Bulgaria,2008,0.031,8,11
Bulgaria,2009,0.017,3,6
Bulgaria,2010,0.009,4,3
Bulgaria,2011,0,2,0
Bulgaria,2012,0,2,0
Bulgaria,2013,0.004,2,2
Bulgaria,2014,0.003,3,1
Bulgaria,2015,0.002,1,1
Czechia,2007,0.001,4,2
Czechia,2008,0.003,2,4
Czechia,2009,0.001,2,1
Czechia,2010,0.007,1,12
Czechia,2011,0.005,6,8
Czechia,2012,0,1,1
Czechia,2013,0,3,1
Czechia,2014,0.004,8,6
