country,year,value
Isle of Man,2016,0
Isle of Man,2017,0
India,1960,0
India,1961,0
India,1962,0
India,1963,0
India,1964,0
India,1965,0
India,1966,0
India,1967,0
India,1968,0
India,1969,0
India,1970,0
India,1971,0
India,1972,0
India,1973,0
India,1974,0
India,1975,0
India,1976,0
India,1977,0
India,1978,0
India,1979,0
India,1980,0
India,1981,0
India,1982,0
India,1983,0
India,1984,0
India,1985,0
India,1986,0
India,1987,0
India,1988,0
India,1989,0
India,1990,0
India,1991,0
India,1992,0
India,1993,0
India,1994,0
India,1995,0
India,1996,152.48388
India,1997,0
India,1998,115.63131
India,1999,0
India,2000,110.05039
India,2001,0
India,2002,0
India,2003,0
India,2004,0
India,2005,135.2997
India,2006,0
India,2007,0
India,2008,0
India,2009,0
India,2010,156.63804
India,2011,0
India,2012,0
India,2013,0
India,2014,0
India,2015,215.85286
India,2016,0
India,2017,0
Not classified,1960,0
Not classified,1961,0
Not classified,1962,0
Not classified,1963,0
Not classified,1964,0
Not classified,1965,0
Not classified,1966,0
Not classified,1967,0
Not classified,1968,0
Not classified,1969,0
Not classified,1970,0
Not classified,1971,0
Not classified,1972,0
Not classified,1973,0
Not classified,1974,0
Not classified,1975,0
Not classified,1976,0
Not classified,1977,0
Not classified,1978,0
Not classified,1979,0
Not classified,1980,0
Not classified,1981,0
Not classified,1982,0
Not classified,1983,0
Not classified,1984,0
Not classified,1985,0
Not classified,1986,0
Not classified,1987,0
Not classified,1988,0
Not classified,1989,0
Not classified,1990,0
Not classified,1991,0
Not classified,1992,0
Not classified,1993,0
Not classified,1994,0
Not classified,1995,0
Not classified,1996,0
Not classified,1997,0
Not classified,1998,0
Not classified,1999,0
Not classified,2000,0
Not classified,2001,0
Not classified,2002,0
Not classified,2003,0
Not classified,2004,0
Not classified,2005,0
Not classified,2006,0
Not classified,2007,0
Not classified,2008,0
Not classified,2009,0
Not classified,2010,0
Not classified,2011,0
Not classified,2012,0
Not classified,2013,0
Not classified,2014,0
Not classified,2015,0
Not classified,2016,0
Not classified,2017,0
Ireland,1960,0
Ireland,1961,0
Ireland,1962,0
Ireland,1963,0
Ireland,1964,0
Ireland,1965,0
Ireland,1966,0
Ireland,1967,0
Ireland,1968,0
Ireland,1969,0
Ireland,1970,0
Ireland,1971,0
Ireland,1972,0
Ireland,1973,0
Ireland,1974,0
Ireland,1975,0
Ireland,1976,0
Ireland,1977,0
Ireland,1978,0
Ireland,1979,0
Ireland,1980,0
Ireland,1981,0
Ireland,1982,0
Ireland,1983,0
Ireland,1984,0
Ireland,1985,0
Ireland,1986,0
Ireland,1987,0
Ireland,1988,0
Ireland,1989,0
Ireland,1990,0
Ireland,1991,0
Ireland,1992,0
Ireland,1993,0
Ireland,1994,0
Ireland,1995,0
Ireland,1996,1747.72053
Ireland,1997,1901.61499
Ireland,1998,2061.87346
Ireland,1999,2079.0136
Ireland,2000,2216.79968
Ireland,2001,2293.62266
Ireland,2002,2362.77639
Ireland,2003,2484.29467
Ireland,2004,2672.47734
Ireland,2005,2756.38128
Ireland,2006,2834.69129
Ireland,2007,2892.64578
Ireland,2008,3236.9488
Ireland,2009,3112.57637
Ireland,2010,3070.16993
Ireland,2011,3281.74051
Ireland,2012,3481.89409
Ireland,2013,3605.94126
Ireland,2014,4433.47014
Ireland,2015,4575.19636
Ireland,2016,0
Ireland,2017,0
"Iran, Islamic Rep.",1960,0
"Iran, Islamic Rep.",1961,0
"Iran, Islamic Rep.",1962,0
"Iran, Islamic Rep.",1963,0
"Iran, Islamic Rep.",1964,0
"Iran, Islamic Rep.",1965,0
"Iran, Islamic Rep.",1966,0
"Iran, Islamic Rep.",1967,0
"Iran, Islamic Rep.",1968,0
"Iran, Islamic Rep.",1969,0
"Iran, Islamic Rep.",1970,0
"Iran, Islamic Rep.",1971,0
"Iran, Islamic Rep.",1972,0
"Iran, Islamic Rep.",1973,0
"Iran, Islamic Rep.",1974,0
"Iran, Islamic Rep.",1975,0
"Iran, Islamic Rep.",1976,0
"Iran, Islamic Rep.",1977,0
"Iran, Islamic Rep.",1978,0
"Iran, Islamic Rep.",1979,0
"Iran, Islamic Rep.",1980,0
"Iran, Islamic Rep.",1981,0
"Iran, Islamic Rep.",1982,0
"Iran, Islamic Rep.",1983,0
"Iran, Islamic Rep.",1984,0
"Iran, Islamic Rep.",1985,0
"Iran, Islamic Rep.",1986,0
"Iran, Islamic Rep.",1987,0
"Iran, Islamic Rep.",1988,0
"Iran, Islamic Rep.",1989,0
"Iran, Islamic Rep.",1990,0
"Iran, Islamic Rep.",1991,0
"Iran, Islamic Rep.",1992,0
"Iran, Islamic Rep.",1993,0
"Iran, Islamic Rep.",1994,0
"Iran, Islamic Rep.",1995,0
"Iran, Islamic Rep.",1996,0
"Iran, Islamic Rep.",1997,0
"Iran, Islamic Rep.",1998,0
"Iran, Islamic Rep.",1999,0
"Iran, Islamic Rep.",2000,0
"Iran, Islamic Rep.",2001,0
"Iran, Islamic Rep.",2002,0
"Iran, Islamic Rep.",2003,0
"Iran, Islamic Rep.",2004,0
"Iran, Islamic Rep.",2005,0
"Iran, Islamic Rep.",2006,712.68676
"Iran, Islamic Rep.",2007,0
"Iran, Islamic Rep.",2008,748.20738
"Iran, Islamic Rep.",2009,712.21617
"Iran, Islamic Rep.",2010,738.18869
"Iran, Islamic Rep.",2011,0
"Iran, Islamic Rep.",2012,691.41402
"Iran, Islamic Rep.",2013,0
"Iran, Islamic Rep.",2014,0
"Iran, Islamic Rep.",2015,0
"Iran, Islamic Rep.",2016,0
"Iran, Islamic Rep.",2017,0
Iraq,1960,0
Iraq,1961,0
Iraq,1962,0
Iraq,1963,0
Iraq,1964,0
Iraq,1965,0
Iraq,1966,0
Iraq,1967,0
Iraq,1968,0
Iraq,1969,0
Iraq,1970,0
Iraq,1971,0
Iraq,1972,0
Iraq,1973,0
Iraq,1974,0
Iraq,1975,0
Iraq,1976,0
Iraq,1977,0
Iraq,1978,0
Iraq,1979,0
Iraq,1980,0
Iraq,1981,0
Iraq,1982,0
Iraq,1983,0
Iraq,1984,0
Iraq,1985,0
Iraq,1986,0
Iraq,1987,0
Iraq,1988,0
Iraq,1989,0
Iraq,1990,0
Iraq,1991,0
Iraq,1992,0
Iraq,1993,0
Iraq,1994,0
Iraq,1995,0
Iraq,1996,0
Iraq,1997,0
Iraq,1998,0
Iraq,1999,0
Iraq,2000,0
Iraq,2001,0
Iraq,2002,0
Iraq,2003,0
Iraq,2004,0
Iraq,2005,0
Iraq,2006,0
Iraq,2007,370.71388
Iraq,2008,381.02649
Iraq,2009,401.9935
Iraq,2010,416.25421
Iraq,2011,425.47706
Iraq,2012,0
Iraq,2013,0
Iraq,2014,67.87005
Iraq,2015,64.2722
Iraq,2016,0
Iraq,2017,0
Iceland,1960,0
Iceland,1961,0
Iceland,1962,0
Iceland,1963,0
Iceland,1964,0
Iceland,1965,0
Iceland,1966,0
Iceland,1967,0
Iceland,1968,0
Iceland,1969,0
Iceland,1970,0
Iceland,1971,0
Iceland,1972,0
Iceland,1973,0
Iceland,1974,0
Iceland,1975,0
Iceland,1976,0
Iceland,1977,0
Iceland,1978,0
Iceland,1979,0
Iceland,1980,0
Iceland,1981,0
Iceland,1982,0
Iceland,1983,0
Iceland,1984,0
Iceland,1985,0
Iceland,1986,0
Iceland,1987,0
Iceland,1988,0
Iceland,1989,0
Iceland,1990,0
Iceland,1991,0
Iceland,1992,0
Iceland,1993,0
Iceland,1994,0
Iceland,1995,0
Iceland,1996,0
Iceland,1997,4915.35862
Iceland,1998,5132.28314
Iceland,1999,5666.79599
Iceland,2000,0
Iceland,2001,6546.33023
Iceland,2002,0
Iceland,2003,6614.35906
Iceland,2004,0
Iceland,2005,7261.79043
Iceland,2006,7975.61875
Iceland,2007,7230.48966
Iceland,2008,7443.31732
Iceland,2009,7969.49761
Iceland,2010,0
Iceland,2011,7034.54506
Iceland,2012,0
Iceland,2013,5679.51886
Iceland,2014,0
Iceland,2015,5902.52713
Iceland,2016,0
Iceland,2017,0
Israel,1960,0
Israel,1961,0
Israel,1962,0
Israel,1963,0
Israel,1964,0
Israel,1965,0
Israel,1966,0
Israel,1967,0
Israel,1968,0
Israel,1969,0
Israel,1970,0
Israel,1971,0
Israel,1972,0
Israel,1973,0
Israel,1974,0
Israel,1975,0
Israel,1976,0
Israel,1977,0
Israel,1978,0
Israel,1979,0
Israel,1980,0
Israel,1981,0
Israel,1982,0
Israel,1983,0
Israel,1984,0
Israel,1985,0
Israel,1986,0
Israel,1987,0
Israel,1988,0
Israel,1989,0
Israel,1990,0
Israel,1991,0
Israel,1992,0
Israel,1993,0
Israel,1994,0
Israel,1995,0
Israel,1996,0
Israel,1997,0
Israel,1998,0
Israel,1999,0
Israel,2000,0
Israel,2001,0
Israel,2002,0
Israel,2003,0
Israel,2004,0
Israel,2005,0
Israel,2006,0
Israel,2007,0
Israel,2008,0
Israel,2009,0
Israel,2010,0
Israel,2011,7296.25321
Israel,2012,8255.40441
Israel,2013,0
Israel,2014,0
Israel,2015,0
Israel,2016,0
Israel,2017,0
Italy,1960,0
Italy,1961,0
Italy,1962,0
Italy,1963,0
Italy,1964,0
Italy,1965,0
Italy,1966,0
Italy,1967,0
Italy,1968,0
Italy,1969,0
Italy,1970,0
Italy,1971,0
Italy,1972,0
Italy,1973,0
Italy,1974,0
Italy,1975,0
Italy,1976,0
Italy,1977,0
Italy,1978,0
Italy,1979,0
Italy,1980,0
Italy,1981,0
Italy,1982,0
Italy,1983,0
Italy,1984,0
Italy,1985,0
Italy,1986,0
Italy,1987,0
Italy,1988,0
Italy,1989,0
Italy,1990,0
Italy,1991,0
Italy,1992,0
Italy,1993,0
Italy,1994,0
Italy,1995,0
Italy,1996,1338.91133
Italy,1997,1151.62494
Italy,1998,1146.34139
Italy,1999,1141.36435
Italy,2000,1156.83949
Italy,2001,1162.88275
Italy,2002,1235.64588
Italy,2003,1212.58399
Italy,2004,1234.17581
Italy,2005,1406.284
Italy,2006,1500.88077
Italy,2007,1572.57868
Italy,2008,1614.4224
Italy,2009,1712.54417
Italy,2010,1735.6563
Italy,2011,1778.70461
Italy,2012,1853.01357
Italy,2013,1943.46953
Italy,2014,1976.68063
Italy,2015,2018.08649
Italy,2016,0
Italy,2017,0
Jamaica,1960,0
Jamaica,1961,0
Jamaica,1962,0
Jamaica,1963,0
Jamaica,1964,0
Jamaica,1965,0
Jamaica,1966,0
Jamaica,1967,0
Jamaica,1968,0
Jamaica,1969,0
Jamaica,1970,0
Jamaica,1971,0
Jamaica,1972,0
Jamaica,1973,0
Jamaica,1974,0
Jamaica,1975,0
Jamaica,1976,0
Jamaica,1977,0
Jamaica,1978,0
Jamaica,1979,0
Jamaica,1980,0
Jamaica,1981,0
Jamaica,1982,0
Jamaica,1983,0
Jamaica,1984,0
Jamaica,1985,0
Jamaica,1986,0
Jamaica,1987,0
Jamaica,1988,0
Jamaica,1989,0
Jamaica,1990,0
Jamaica,1991,0
Jamaica,1992,0
Jamaica,1993,0
Jamaica,1994,0
Jamaica,1995,0
Jamaica,1996,0
Jamaica,1997,0
Jamaica,1998,0
Jamaica,1999,0
Jamaica,2000,0
Jamaica,2001,0
Jamaica,2002,0
Jamaica,2003,0
Jamaica,2004,0
Jamaica,2005,0
Jamaica,2006,0
Jamaica,2007,0
Jamaica,2008,0
Jamaica,2009,0
Jamaica,2010,0
Jamaica,2011,0
Jamaica,2012,0
Jamaica,2013,0
Jamaica,2014,0
Jamaica,2015,0
Jamaica,2016,0
Jamaica,2017,0
Jordan,1960,0
Jordan,1961,0
Jordan,1962,0
Jordan,1963,0
Jordan,1964,0
Jordan,1965,0
Jordan,1966,0
Jordan,1967,0
Jordan,1968,0
Jordan,1969,0
Jordan,1970,0
Jordan,1971,0
Jordan,1972,0
Jordan,1973,0
Jordan,1974,0
Jordan,1975,0
Jordan,1976,0
Jordan,1977,0
Jordan,1978,0
Jordan,1979,0
Jordan,1980,0
Jordan,1981,0
Jordan,1982,0
Jordan,1983,0
Jordan,1984,0
Jordan,1985,0
Jordan,1986,0
Jordan,1987,0
Jordan,1988,0
Jordan,1989,0
Jordan,1990,0
Jordan,1991,0
Jordan,1992,0
Jordan,1993,0
Jordan,1994,0
Jordan,1995,0
Jordan,1996,0
Jordan,1997,0
Jordan,1998,1966.96665
Jordan,1999,0
Jordan,2000,0
Jordan,2001,0
Jordan,2002,0
Jordan,2003,0
Jordan,2004,0
Jordan,2005,0
Jordan,2006,0
Jordan,2007,0
Jordan,2008,0
Jordan,2009,0
Jordan,2010,0
Jordan,2011,0
Jordan,2012,0
Jordan,2013,0
Jordan,2014,0
Jordan,2015,307.98414
Jordan,2016,0
Jordan,2017,0
Japan,1960,0
Japan,1961,0
Japan,1962,0
Japan,1963,0
Japan,1964,0
Japan,1965,0
Japan,1966,0
Japan,1967,0
Japan,1968,0
Japan,1969,0
Japan,1970,0
Japan,1971,0
Japan,1972,0
Japan,1973,0
Japan,1974,0
Japan,1975,0
Japan,1976,0
Japan,1977,0
Japan,1978,0
Japan,1979,0
Japan,1980,0
Japan,1981,0
Japan,1982,0
Japan,1983,0
Japan,1984,0
Japan,1985,0
Japan,1986,0
Japan,1987,0
Japan,1988,0
Japan,1989,0
Japan,1990,0
Japan,1991,0
Japan,1992,0
Japan,1993,0
Japan,1994,0
Japan,1995,0
Japan,1996,4947.04039
Japan,1997,5001.59842
Japan,1998,5211.6528
Japan,1999,5251.07178
Japan,2000,5151.125
Japan,2001,5183.76375
Japan,2002,4934.94989
Japan,2003,5156.09369
Japan,2004,5156.82821
Japan,2005,5360.19593
Japan,2006,5386.99422
Japan,2007,5377.68895
Japan,2008,5157.7665
Japan,2009,5147.8361
Japan,2010,5152.63132
Japan,2011,5160.2046
Japan,2012,5083.74949
Japan,2013,5201.31659
Japan,2014,5386.15362
Japan,2015,5230.72444
Japan,2016,0
Japan,2017,0
Kazakhstan,1960,0
Kazakhstan,1961,0
Kazakhstan,1962,0
Kazakhstan,1963,0
Kazakhstan,1964,0
Kazakhstan,1965,0
Kazakhstan,1966,0
Kazakhstan,1967,0
Kazakhstan,1968,0
Kazakhstan,1969,0
Kazakhstan,1970,0
Kazakhstan,1971,0
Kazakhstan,1972,0
Kazakhstan,1973,0
Kazakhstan,1974,0
Kazakhstan,1975,0
Kazakhstan,1976,0
Kazakhstan,1977,0
Kazakhstan,1978,0
Kazakhstan,1979,0
Kazakhstan,1980,0
Kazakhstan,1981,0
Kazakhstan,1982,0
Kazakhstan,1983,0
Kazakhstan,1984,0
Kazakhstan,1985,0
Kazakhstan,1986,0
Kazakhstan,1987,0
Kazakhstan,1988,0
Kazakhstan,1989,0
Kazakhstan,1990,0
Kazakhstan,1991,0
Kazakhstan,1992,0
Kazakhstan,1993,0
Kazakhstan,1994,0
Kazakhstan,1995,0
Kazakhstan,1996,0
Kazakhstan,1997,0
Kazakhstan,1998,0
Kazakhstan,1999,0
Kazakhstan,2000,0
Kazakhstan,2001,0
Kazakhstan,2002,0
Kazakhstan,2003,0
Kazakhstan,2004,0
Kazakhstan,2005,0
Kazakhstan,2006,0
Kazakhstan,2007,405.19847
Kazakhstan,2008,375.22071
Kazakhstan,2009,347.42678
Kazakhstan,2010,369.20721
Kazakhstan,2011,384.43172
Kazakhstan,2012,609.63811
Kazakhstan,2013,734.05458
Kazakhstan,2014,0
Kazakhstan,2015,0
Kazakhstan,2016,0
Kazakhstan,2017,0
Kenya,1960,0
Kenya,1961,0
Kenya,1962,0
Kenya,1963,0
Kenya,1964,0
Kenya,1965,0
Kenya,1966,0
Kenya,1967,0
Kenya,1968,0
Kenya,1969,0
Kenya,1970,0
Kenya,1971,0
Kenya,1972,0
Kenya,1973,0
Kenya,1974,0
Kenya,1975,0
Kenya,1976,0
Kenya,1977,0
Kenya,1978,0
Kenya,1979,0
Kenya,1980,0
Kenya,1981,0
Kenya,1982,0
Kenya,1983,0
Kenya,1984,0
Kenya,1985,0
Kenya,1986,0
Kenya,1987,0
Kenya,1988,0
Kenya,1989,0
Kenya,1990,0
Kenya,1991,0
Kenya,1992,0
Kenya,1993,0
Kenya,1994,0
Kenya,1995,0
Kenya,1996,0
Kenya,1997,0
Kenya,1998,0
Kenya,1999,0
Kenya,2000,0
Kenya,2001,0
Kenya,2002,0
Kenya,2003,0
Kenya,2004,0
Kenya,2005,0
Kenya,2006,0
Kenya,2007,56.51999
Kenya,2008,0
Kenya,2009,0
Kenya,2010,230.7312
Kenya,2011,0
Kenya,2012,0
Kenya,2013,0
Kenya,2014,0
Kenya,2015,0
Kenya,2016,0
Kenya,2017,0
Kyrgyz Republic,1960,0
Kyrgyz Republic,1961,0
Kyrgyz Republic,1962,0
Kyrgyz Republic,1963,0
Kyrgyz Republic,1964,0
Kyrgyz Republic,1965,0
Kyrgyz Republic,1966,0
Kyrgyz Republic,1967,0
Kyrgyz Republic,1968,0
Kyrgyz Republic,1969,0
Kyrgyz Republic,1970,0
Kyrgyz Republic,1971,0
Kyrgyz Republic,1972,0
Kyrgyz Republic,1973,0
Kyrgyz Republic,1974,0
Kyrgyz Republic,1975,0
Kyrgyz Republic,1976,0
Kyrgyz Republic,1977,0
Kyrgyz Republic,1978,0
Kyrgyz Republic,1979,0
Kyrgyz Republic,1980,0
Kyrgyz Republic,1981,0
Kyrgyz Republic,1982,0
Kyrgyz Republic,1983,0
Kyrgyz Republic,1984,0
Kyrgyz Republic,1985,0
Kyrgyz Republic,1986,0
Kyrgyz Republic,1987,0
Kyrgyz Republic,1988,0
Kyrgyz Republic,1989,0
Kyrgyz Republic,1990,0
Kyrgyz Republic,1991,0
Kyrgyz Republic,1992,0
Kyrgyz Republic,1993,0
Kyrgyz Republic,1994,0
Kyrgyz Republic,1995,0
Kyrgyz Republic,1996,0
Kyrgyz Republic,1997,0
Kyrgyz Republic,1998,0
Kyrgyz Republic,1999,0
Kyrgyz Republic,2000,0
Kyrgyz Republic,2001,0
Kyrgyz Republic,2002,0
Kyrgyz Republic,2003,0
Kyrgyz Republic,2004,0
Kyrgyz Republic,2005,0
Kyrgyz Republic,2006,0
Kyrgyz Republic,2007,0
Kyrgyz Republic,2008,0
Kyrgyz Republic,2009,0
Kyrgyz Republic,2010,0
Kyrgyz Republic,2011,0
Kyrgyz Republic,2012,0
Kyrgyz Republic,2013,0
Kyrgyz Republic,2014,0
Kyrgyz Republic,2015,0
Kyrgyz Republic,2016,0
Kyrgyz Republic,2017,0
Cambodia,1960,0
Cambodia,1961,0
Cambodia,1962,0
Cambodia,1963,0
Cambodia,1964,0
Cambodia,1965,0
Cambodia,1966,0
Cambodia,1967,0
Cambodia,1968,0
Cambodia,1969,0
Cambodia,1970,0
Cambodia,1971,0
Cambodia,1972,0
Cambodia,1973,0
Cambodia,1974,0
Cambodia,1975,0
Cambodia,1976,0
Cambodia,1977,0
Cambodia,1978,0
Cambodia,1979,0
Cambodia,1980,0
Cambodia,1981,0
Cambodia,1982,0
Cambodia,1983,0
Cambodia,1984,0
Cambodia,1985,0
Cambodia,1986,0
Cambodia,1987,0
Cambodia,1988,0
Cambodia,1989,0
Cambodia,1990,0
Cambodia,1991,0
Cambodia,1992,0
Cambodia,1993,0
Cambodia,1994,0
Cambodia,1995,0
Cambodia,1996,0
Cambodia,1997,0
Cambodia,1998,0
Cambodia,1999,0
Cambodia,2000,0
Cambodia,2001,0
Cambodia,2002,17.58006
Cambodia,2003,0
Cambodia,2004,0
Cambodia,2005,0
Cambodia,2006,0
Cambodia,2007,0
Cambodia,2008,0
Cambodia,2009,0
Cambodia,2010,0
Cambodia,2011,0
Cambodia,2012,0
Cambodia,2013,0
Cambodia,2014,0
Cambodia,2015,30.25697
Cambodia,2016,0
Cambodia,2017,0
Kiribati,1960,0
Kiribati,1961,0
Kiribati,1962,0
Kiribati,1963,0
Kiribati,1964,0
Kiribati,1965,0
Kiribati,1966,0
Kiribati,1967,0
Kiribati,1968,0
Kiribati,1969,0
Kiribati,1970,0
Kiribati,1971,0
Kiribati,1972,0
Kiribati,1973,0
Kiribati,1974,0
Kiribati,1975,0
Kiribati,1976,0
Kiribati,1977,0
Kiribati,1978,0
Kiribati,1979,0
Kiribati,1980,0
Kiribati,1981,0
Kiribati,1982,0
Kiribati,1983,0
Kiribati,1984,0
Kiribati,1985,0
Kiribati,1986,0
Kiribati,1987,0
Kiribati,1988,0
Kiribati,1989,0
Kiribati,1990,0
Kiribati,1991,0
Kiribati,1992,0
Kiribati,1993,0
Kiribati,1994,0
Kiribati,1995,0
Kiribati,1996,0
Kiribati,1997,0
Kiribati,1998,0
Kiribati,1999,0
Kiribati,2000,0
Kiribati,2001,0
Kiribati,2002,0
Kiribati,2003,0
Kiribati,2004,0
Kiribati,2005,0
Kiribati,2006,0
Kiribati,2007,0
Kiribati,2008,0
Kiribati,2009,0
Kiribati,2010,0
Kiribati,2011,0
Kiribati,2012,0
Kiribati,2013,0
Kiribati,2014,0
Kiribati,2015,0
Kiribati,2016,0
Kiribati,2017,0
St. Kitts and Nevis,1960,0
St. Kitts and Nevis,1961,0
St. Kitts and Nevis,1962,0
St. Kitts and Nevis,1963,0
St. Kitts and Nevis,1964,0
St. Kitts and Nevis,1965,0
St. Kitts and Nevis,1966,0
St. Kitts and Nevis,1967,0
St. Kitts and Nevis,1968,0
St. Kitts and Nevis,1969,0
St. Kitts and Nevis,1970,0
St. Kitts and Nevis,1971,0
St. Kitts and Nevis,1972,0
St. Kitts and Nevis,1973,0
St. Kitts and Nevis,1974,0
St. Kitts and Nevis,1975,0
St. Kitts and Nevis,1976,0
St. Kitts and Nevis,1977,0
St. Kitts and Nevis,1978,0
St. Kitts and Nevis,1979,0
St. Kitts and Nevis,1980,0
St. Kitts and Nevis,1981,0
St. Kitts and Nevis,1982,0
St. Kitts and Nevis,1983,0
St. Kitts and Nevis,1984,0
St. Kitts and Nevis,1985,0
St. Kitts and Nevis,1986,0
St. Kitts and Nevis,1987,0
St. Kitts and Nevis,1988,0
St. Kitts and Nevis,1989,0
St. Kitts and Nevis,1990,0
St. Kitts and Nevis,1991,0
St. Kitts and Nevis,1992,0
St. Kitts and Nevis,1993,0
St. Kitts and Nevis,1994,0
St. Kitts and Nevis,1995,0
St. Kitts and Nevis,1996,0
St. Kitts and Nevis,1997,0
St. Kitts and Nevis,1998,0
St. Kitts and Nevis,1999,0
St. Kitts and Nevis,2000,0
St. Kitts and Nevis,2001,0
St. Kitts and Nevis,2002,0
St. Kitts and Nevis,2003,0
St. Kitts and Nevis,2004,0
St. Kitts and Nevis,2005,0
St. Kitts and Nevis,2006,0
St. Kitts and Nevis,2007,0
St. Kitts and Nevis,2008,0
St. Kitts and Nevis,2009,0
St. Kitts and Nevis,2010,0
St. Kitts and Nevis,2011,0
St. Kitts and Nevis,2012,0
St. Kitts and Nevis,2013,0
St. Kitts and Nevis,2014,0
St. Kitts and Nevis,2015,0
St. Kitts and Nevis,2016,0
St. Kitts and Nevis,2017,0
"Korea, Rep.",1960,0
"Korea, Rep.",1961,0
"Korea, Rep.",1962,0
"Korea, Rep.",1963,0
"Korea, Rep.",1964,0
"Korea, Rep.",1965,0
"Korea, Rep.",1966,0
"Korea, Rep.",1967,0
"Korea, Rep.",1968,0
"Korea, Rep.",1969,0
"Korea, Rep.",1970,0
"Korea, Rep.",1971,0
